fastText

alpha	beta	precision	recall	f-measure

0.1	0.1	0.22939068100358423	0.7901234567901234	0.35555555555555557
0.1	0.2	0.22939068100358423	0.7901234567901234	0.35555555555555557
0.1	0.3	0.2302158273381295	0.7901234567901234	0.3565459610027855
0.1	0.4	0.22580645161290322	0.8076923076923077	0.3529411764705882
0.1	0.5	0.22302158273381295	0.7948717948717948	0.34831460674157305
0.1	0.6	0.2246376811594203	0.7948717948717948	0.3502824858757062
0.1	0.7	0.21299638989169675	0.7763157894736842	0.3342776203966006
0.1	0.8	0.1970260223048327	0.7361111111111112	0.31085043988269795
0.1	0.9	0.18352059925093633	0.7424242424242424	0.2942942942942943
0.2	0.1	0.22939068100358423	0.7901234567901234	0.35555555555555557
0.2	0.2	0.2302158273381295	0.7901234567901234	0.3565459610027855
0.2	0.3	0.23104693140794225	0.7901234567901234	0.3575418994413408
0.2	0.4	0.22743682310469315	0.7777777777777778	0.35195530726256985
0.2	0.5	0.22580645161290322	0.8076923076923077	0.3529411764705882
0.2	0.6	0.2210144927536232	0.7922077922077922	0.34560906515580736
0.2	0.7	0.21660649819494585	0.7692307692307693	0.33802816901408456
0.2	0.8	0.1948529411764706	0.7162162162162162	0.3063583815028902
0.2	0.9	0.1797752808988764	0.7164179104477612	0.28742514970059874
0.3	0.1	0.2302158273381295	0.7901234567901234	0.3565459610027855
0.3	0.2	0.2302158273381295	0.7901234567901234	0.3565459610027855
0.3	0.3	0.2302158273381295	0.7901234567901234	0.3565459610027855
0.3	0.4	0.22580645161290322	0.8181818181818182	0.35393258426966295
0.3	0.5	0.22302158273381295	0.8051948051948052	0.34929577464788736
0.3	0.6	0.2246376811594203	0.7848101265822784	0.34929577464788736
0.3	0.7	0.23636363636363636	0.7926829268292683	0.36414565826330536
0.3	0.8	0.21454545454545454	0.7468354430379747	0.3333333333333333
0.3	0.9	0.19245283018867926	0.7183098591549296	0.30357142857142855
0.4	0.1	0.2302158273381295	0.7901234567901234	0.3565459610027855
0.4	0.2	0.23104693140794225	0.7901234567901234	0.3575418994413408
0.4	0.3	0.22857142857142856	0.8205128205128205	0.35754189944134074
0.4	0.4	0.22580645161290322	0.8181818181818182	0.35393258426966295
0.4	0.5	0.22580645161290322	0.8181818181818182	0.35393258426966295
0.4	0.6	0.2490974729241877	0.8117647058823529	0.38121546961325964
0.4	0.7	0.23357664233576642	0.7804878048780488	0.35955056179775285
0.4	0.8	0.21454545454545454	0.7468354430379747	0.3333333333333333
0.4	0.9	0.19852941176470587	0.75	0.313953488372093
0.5	0.1	0.22939068100358423	0.7901234567901234	0.35555555555555557
0.5	0.2	0.23104693140794225	0.7901234567901234	0.3575418994413408
0.5	0.3	0.225	0.8181818181818182	0.35294117647058826
0.5	0.4	0.2313167259786477	0.8227848101265823	0.36111111111111116
0.5	0.5	0.2517985611510791	0.813953488372093	0.38461538461538464
0.5	0.6	0.2446043165467626	0.7906976744186046	0.37362637362637363
0.5	0.7	0.23104693140794225	0.7710843373493976	0.35555555555555557
0.5	0.8	0.22580645161290322	0.7875	0.350974930362117
0.5	0.9	0.19855595667870035	0.7432432432432432	0.3133903133903134
0.6	0.1	0.22939068100358423	0.7901234567901234	0.35555555555555557
0.6	0.2	0.2302158273381295	0.7901234567901234	0.3565459610027855
0.6	0.3	0.22857142857142856	0.810126582278481	0.3565459610027855
0.6	0.4	0.23487544483985764	0.825	0.3656509695290859
0.6	0.5	0.24642857142857144	0.8117647058823529	0.3780821917808219
0.6	0.6	0.2392857142857143	0.7976190476190477	0.3681318681318681
0.6	0.7	0.225	0.7777777777777778	0.3490304709141275
0.6	0.8	0.22661870503597123	0.7974683544303798	0.3529411764705883
0.6	0.9	0.2147887323943662	0.8026315789473685	0.3388888888888889
0.7	0.1	0.2302158273381295	0.7901234567901234	0.3565459610027855
0.7	0.2	0.225	0.8181818181818182	0.35294117647058826
