Glove

alpha	beta	precision	recall	f-measure

0.1	0.1	0.22847682119205298	0.75	0.35025380710659904
0.1	0.2	0.22847682119205298	0.7582417582417582	0.3511450381679389
0.1	0.3	0.23102310231023102	0.7692307692307693	0.3553299492385787
0.1	0.4	0.22772277227722773	0.7752808988764045	0.35204081632653056
0.1	0.5	0.22333333333333333	0.7052631578947368	0.3392405063291139
0.1	0.6	0.2251655629139073	0.7391304347826086	0.34517766497461927
0.1	0.7	0.21639344262295082	0.7586206896551724	0.33673469387755106
0.1	0.8	0.2	0.7407407407407407	0.31496062992125984
0.1	0.9	0.16721311475409836	0.7083333333333334	0.27055702917771884
0.2	0.1	0.23432343234323433	0.7717391304347826	0.359493670886076
0.2	0.2	0.23509933774834438	0.7634408602150538	0.359493670886076
0.2	0.3	0.2292358803986711	0.7419354838709677	0.350253807106599
0.2	0.4	0.23102310231023102	0.7692307692307693	0.3553299492385787
0.2	0.5	0.23178807947019867	0.7692307692307693	0.3562340966921119
0.2	0.6	0.23076923076923078	0.7263157894736842	0.350253807106599
0.2	0.7	0.22112211221122113	0.7444444444444445	0.34096692111959287
0.2	0.8	0.20666666666666667	0.7294117647058823	0.3220779220779221
0.2	0.9	0.18272425249169436	0.7236842105263158	0.2917771883289125
0.3	0.1	0.23509933774834438	0.7634408602150538	0.359493670886076
0.3	0.2	0.23509933774834438	0.7634408602150538	0.359493670886076
0.3	0.3	0.23355263157894737	0.7802197802197802	0.3594936708860759
0.3	0.4	0.23432343234323433	0.7802197802197802	0.3604060913705584
0.3	0.5	0.23432343234323433	0.7634408602150538	0.35858585858585856
0.3	0.6	0.23076923076923078	0.7340425531914894	0.3511450381679389
0.3	0.7	0.23432343234323433	0.7717391304347826	0.359493670886076
0.3	0.8	0.23154362416107382	0.7419354838709677	0.35294117647058826
0.3	0.9	0.20270270270270271	0.6896551724137931	0.3133159268929504
0.4	0.1	0.23178807947019867	0.7526881720430108	0.35443037974683544
0.4	0.2	0.23684210526315788	0.7741935483870968	0.36272040302266995
0.4	0.3	0.23432343234323433	0.7717391304347826	0.359493670886076
0.4	0.4	0.23841059602649006	0.7659574468085106	0.3636363636363636
0.4	0.5	0.24092409240924093	0.776595744680851	0.36775818639798485
