w2v

alpha	beta	precision	recall	f-measure

0.1	0.1	0.2808988764044944	0.7653061224489796	0.410958904109589
0.1	0.2	0.2808988764044944	0.7653061224489796	0.410958904109589
0.1	0.3	0.2835820895522388	0.7916666666666666	0.41758241758241754
0.1	0.4	0.2825278810408922	0.7916666666666666	0.4164383561643836
0.1	0.5	0.2835820895522388	0.7916666666666666	0.41758241758241754
0.1	0.6	0.2835820895522388	0.7916666666666666	0.41758241758241754
0.1	0.7	0.2825278810408922	0.7916666666666666	0.4164383561643836
0.1	0.8	0.2835820895522388	0.7835051546391752	0.4164383561643835
0.1	0.9	0.2777777777777778	0.7894736842105263	0.410958904109589
0.2	0.1	0.2808988764044944	0.7653061224489796	0.410958904109589
0.2	0.2	0.2808988764044944	0.7653061224489796	0.410958904109589
0.2	0.3	0.2835820895522388	0.7916666666666666	0.41758241758241754
0.2	0.4	0.2808988764044944	0.7894736842105263	0.4143646408839779
0.2	0.5	0.2825278810408922	0.7916666666666666	0.4164383561643836
0.2	0.6	0.2825278810408922	0.7916666666666666	0.4164383561643836
0.2	0.7	0.2825278810408922	0.7916666666666666	0.4164383561643836
0.2	0.8	0.2835820895522388	0.7755102040816326	0.41530054644808745
0.2	0.9	0.2656826568265683	0.7659574468085106	0.39452054794520547
0.3	0.1	0.2808988764044944	0.7653061224489796	0.410958904109589
0.3	0.2	0.2808988764044944	0.7653061224489796	0.410958904109589
0.3	0.3	0.2808988764044944	0.7894736842105263	0.4143646408839779
0.3	0.4	0.2788104089219331	0.7894736842105263	0.4120879120879122
0.3	0.5	0.2788104089219331	0.7894736842105263	0.4120879120879122
0.3	0.6	0.2936802973977695	0.797979797979798	0.42934782608695654
0.3	0.7	0.29850746268656714	0.7920792079207921	0.4336043360433604
0.3	0.8	0.2958801498127341	0.7745098039215687	0.4281842818428184
0.3	0.9	0.2867647058823529	0.7959183673469388	0.42162162162162153
0.4	0.1	0.2808988764044944	0.7653061224489796	0.410958904109589
0.4	0.2	0.2819548872180451	0.7653061224489796	0.41208791208791207
0.4	0.3	0.2808988764044944	0.7894736842105263	0.4143646408839779
0.4	0.4	0.2862453531598513	0.7938144329896907	0.42076502732240434
0.4	0.5	0.2899628252788104	0.7959183673469388	0.4250681198910081
0.4	0.6	0.30223880597014924	0.7941176470588235	0.4378378378378378
0.4	0.7	0.2947761194029851	0.7821782178217822	0.4281842818428184
0.4	0.8	0.29259259259259257	0.797979797979798	0.4281842818428184
0.4	0.9	0.2767527675276753	0.7653061224489796	0.4065040650406504
0.5	0.1	0.2808988764044944	0.7653061224489796	0.410958904109589
0.5	0.2	0.2808988764044944	0.7894736842105263	0.4143646408839779
0.5	0.3	0.2862453531598513	0.7938144329896907	0.42076502732240434
0.5	0.4	0.2899628252788104	0.7959183673469388	0.4250681198910081
0.5	0.5	0.30111524163568776	0.801980198019802	0.43783783783783786
0.5	0.6	0.29850746268656714	0.7920792079207921	0.4336043360433604
0.5	0.7	0.2958801498127341	0.7669902912621359	0.42702702702702705
0.5	0.8	0.2878228782287823	0.7959183673469388	0.42276422764227645
0.5	0.9	0.26296296296296295	0.7553191489361702	0.3901098901098901
0.6	0.1	0.2808988764044944	0.7653061224489796	0.410958904109589
0.6	0.2	0.2808988764044944	0.7894736842105263	0.4143646408839779
0.6	0.3	0.2899628252788104	0.7959183673469388	0.4250681198910081
0.6	0.4	0.29739776951672864	0.8	0.4336043360433604
0.6	0.5	0.29850746268656714	0.7920792079207921	0.4336043360433604
0.6	0.6	0.2947761194029851	0.7821782178217822	0.4281842818428184
0.6	0.7	0.29850746268656714	0.7692307692307693	0.43010752688172044
0.6	0.8	0.28308823529411764	0.7857142857142857	0.4162162162162162
0.6	0.9	0.25555555555555554	0.7419354838709677	0.38016528925619836
0.7	0.1	0.2808988764044944	0.7653061224489796	0.410958904109589
0.7	0.2	0.2808988764044944	0.7894736842105263	0.4143646408839779
0.7	0.3	0.2899628252788104	0.7959183673469388	0.4250681198910081
0.7	0.4	0.30111524163568776	0.801980198019802	0.43783783783783786
