fastText

alpha	beta	precision	recall	f-measure

0.1	0.1	0.16877637130801687	0.8	0.2787456445993031
0.1	0.2	0.1728395061728395	0.7777777777777778	0.2828282828282828
0.1	0.3	0.1814516129032258	0.7758620689655172	0.29411764705882354
0.1	0.4	0.19921875	0.8225806451612904	0.32075471698113206
0.1	0.5	0.2388663967611336	0.7866666666666666	0.36645962732919257
0.1	0.6	0.24796747967479674	0.7922077922077922	0.37770897832817335
0.1	0.7	0.24897959183673468	0.7922077922077922	0.37888198757763975
0.1	0.8	0.24897959183673468	0.7922077922077922	0.37888198757763975
0.1	0.9	0.24696356275303644	0.7922077922077922	0.37654320987654316
0.2	0.1	0.16806722689075632	0.8	0.2777777777777778
0.2	0.2	0.16872427983539096	0.7884615384615384	0.2779661016949153
0.2	0.3	0.19367588932806323	0.8032786885245902	0.31210191082802546
0.2	0.4	0.203125	0.8125	0.325
0.2	0.5	0.24390243902439024	0.7894736842105263	0.37267080745341613
0.2	0.6	0.24489795918367346	0.7894736842105263	0.3738317757009345
0.2	0.7	0.24897959183673468	0.8026315789473685	0.38006230529595014
0.2	0.8	0.24796747967479674	0.8026315789473685	0.37888198757763975
0.2	0.9	0.24899598393574296	0.8051948051948052	0.38036809815950917
0.3	0.1	0.16806722689075632	0.7843137254901961	0.27681660899653987
0.3	0.2	0.17886178861788618	0.7333333333333333	0.2875816993464052
0.3	0.3	0.1952191235059761	0.8166666666666667	0.315112540192926
0.3	0.4	0.2	0.8225806451612904	0.32176656151419564
0.3	0.5	0.2571428571428571	0.7875	0.3876923076923076
0.3	0.6	0.25	0.782051282051282	0.3788819875776398
0.3	0.7	0.24897959183673468	0.782051282051282	0.37770897832817335
0.3	0.8	0.24696356275303644	0.8026315789473685	0.3777089783281734
0.3	0.9	0.24696356275303644	0.8026315789473685	0.3777089783281734
0.4	0.1	0.17408906882591094	0.7962962962962963	0.2857142857142857
0.4	0.2	0.196	0.8166666666666667	0.31612903225806455
0.4	0.3	0.1952191235059761	0.8032786885245902	0.3141025641025641
0.4	0.4	0.2015810276679842	0.8225806451612904	0.3238095238095238
0.4	0.5	0.2716049382716049	0.7857142857142857	0.40366972477064217
0.4	0.6	0.27346938775510204	0.7976190476190477	0.4072948328267478
0.4	0.7	0.27235772357723576	0.8072289156626506	0.4072948328267478
0.4	0.8	0.2591093117408907	0.8	0.39143730886850153
0.4	0.9	0.2591093117408907	0.8	0.39143730886850153
0.5	0.1	0.1865079365079365	0.8703703703703703	0.3071895424836601
0.5	0.2	0.2015810276679842	0.8360655737704918	0.3248407643312102
0.5	0.3	0.20238095238095238	0.8360655737704918	0.32587859424920135
0.5	0.4	0.199203187250996	0.819672131147541	0.3205128205128205
0.5	0.5	0.26422764227642276	0.7926829268292683	0.39634146341463417
0.5	0.6	0.2661290322580645	0.7951807228915663	0.39879154078549844
0.5	0.7	0.27125506072874495	0.788235294117647	0.40361445783132527
0.5	0.8	0.27419354838709675	0.8	0.4084084084084084
0.5	0.9	0.27419354838709675	0.8095238095238095	0.4096385542168674
0.6	0.1	0.19123505976095617	0.8275862068965517	0.31067961165048547
0.6	0.2	0.2015810276679842	0.8360655737704918	0.3248407643312102
0.6	0.3	0.2047244094488189	0.8387096774193549	0.3291139240506329
0.6	0.4	0.2	0.8225806451612904	0.32176656151419564
0.6	0.5	0.2591093117408907	0.7710843373493976	0.3878787878787879
0.6	0.6	0.2701612903225806	0.7976190476190477	0.4036144578313252
0.6	0.7	0.26720647773279355	0.7951807228915663	0.4000000000000001
0.6	0.8	0.27419354838709675	0.7906976744186046	0.407185628742515
0.6	0.9	0.27710843373493976	0.8023255813953488	0.41194029850746267
0.7	0.1	0.18725099601593626	0.8103448275862069	0.30420711974110026
0.7	0.2	0.2	0.8524590163934426	0.32398753894080995
0.7	0.3	0.2047244094488189	0.8387096774193549	0.3291139240506329
0.7	0.4	0.20392156862745098	0.8387096774193549	0.32807570977917977
0.7	0.5	0.25203252032520324	0.775	0.38036809815950917
0.7	0.6	0.2682926829268293	0.7764705882352941	0.3987915407854985
0.7	0.7	0.2701612903225806	0.7976190476190477	0.4036144578313252
0.7	0.8	0.26720647773279355	0.7951807228915663	0.4000000000000001
0.7	0.9	0.272	0.7906976744186046	0.4047619047619048
0.8	0.1	0.18672199170124482	0.8333333333333334	0.3050847457627119
0.8	0.2	0.19607843137254902	0.847457627118644	0.3184713375796178
0.8	0.3	0.20948616600790515	0.8548387096774194	0.3365079365079365
0.8	0.4	0.2047244094488189	0.8387096774193549	0.3291139240506329
0.8	0.5	0.2551440329218107	0.7654320987654321	0.38271604938271603
0.8	0.6	0.25609756097560976	0.7682926829268293	0.38414634146341464
0.8	0.7	0.26720647773279355	0.7764705882352941	0.3975903614457832
0.8	0.8	0.27125506072874495	0.7976190476190477	0.40483383685800606
0.8	0.9	0.27125506072874495	0.7976190476190477	0.40483383685800606
0.9	0.1	0.1875	0.8333333333333334	0.3061224489795918
0.9	0.2	0.204	0.8793103448275862	0.3311688311688311
0.9	0.3	0.21115537848605578	0.8548387096774194	0.33865814696485624
0.9	0.4	0.20948616600790515	0.8548387096774194	0.3365079365079365
0.9	0.5	0.2581967213114754	0.7875	0.3888888888888889
0.9	0.6	0.26141078838174275	0.7590361445783133	0.3888888888888889
0.9	0.7	0.26422764227642276	0.7738095238095238	0.3939393939393939
0.9	0.8	0.26720647773279355	0.7764705882352941	0.3975903614457832
0.9	0.9	0.27125506072874495	0.7976190476190477	0.40483383685800606

maxAlpha: 0.6,	maxBeta: 0.9,	maxFMeasure: 0.41194029850746267
