Glove

alpha	beta	precision	recall	f-measure

0.1	0.1	0.145	0.7631578947368421	0.24369747899159663
0.1	0.2	0.20418848167539266	0.8478260869565217	0.3291139240506329
0.1	0.3	0.21354166666666666	0.7592592592592593	0.3333333333333333
0.1	0.4	0.233502538071066	0.8070175438596491	0.36220472440944884
0.1	0.5	0.27835051546391754	0.8181818181818182	0.4153846153846154
0.1	0.6	0.2857142857142857	0.8059701492537313	0.42187499999999994
0.1	0.7	0.31016042780748665	0.8169014084507042	0.44961240310077516
0.1	0.8	0.30601092896174864	0.7887323943661971	0.4409448818897638
0.1	0.9	0.30386740331491713	0.7857142857142857	0.4382470119521912
0.2	0.1	0.15577889447236182	0.7380952380952381	0.2572614107883818
0.2	0.2	0.20540540540540542	0.8636363636363636	0.3318777292576419
0.2	0.3	0.21621621621621623	0.8	0.3404255319148936
0.2	0.4	0.2422680412371134	0.8245614035087719	0.3745019920318725
0.2	0.5	0.29473684210526313	0.8235294117647058	0.4341085271317829
0.2	0.6	0.3048128342245989	0.8260869565217391	0.44531249999999994
0.2	0.7	0.3021978021978022	0.7971014492753623	0.4382470119521912
0.2	0.8	0.3055555555555556	0.7857142857142857	0.43999999999999995
0.2	0.9	0.3055555555555556	0.7857142857142857	0.43999999999999995
0.3	0.1	0.18848167539267016	0.6923076923076923	0.29629629629629634
0.3	0.2	0.22826086956521738	0.8571428571428571	0.3605150214592274
0.3	0.3	0.24864864864864866	0.8679245283018868	0.38655462184873957
0.3	0.4	0.25396825396825395	0.8727272727272727	0.39344262295081966
0.3	0.5	0.3064516129032258	0.8260869565217391	0.44705882352941173
0.3	0.6	0.3081081081081081	0.8142857142857143	0.44705882352941184
0.3	0.7	0.3114754098360656	0.8142857142857143	0.45059288537549413
0.3	0.8	0.31843575418994413	0.8636363636363636	0.46530612244897956
0.3	0.9	0.3146067415730337	0.8484848484848485	0.45901639344262296
0.4	0.1	0.20833333333333334	0.7407407407407407	0.3252032520325203
0.4	0.2	0.23783783783783785	0.7719298245614035	0.36363636363636365
0.4	0.3	0.25824175824175827	0.8703703703703703	0.39830508474576276
0.4	0.4	0.2648648648648649	0.875	0.40663900414937765
0.4	0.5	0.329608938547486	0.8082191780821918	0.4682539682539683
0.4	0.6	0.3259668508287293	0.8194444444444444	0.46640316205533594
0.4	0.7	0.3220338983050847	0.8769230769230769	0.47107438016528924
0.4	0.8	0.32044198895027626	0.8787878787878788	0.46963562753036436
0.4	0.9	0.33146067415730335	0.8676470588235294	0.4796747967479674
0.5	0.1	0.22395833333333334	0.7678571428571429	0.34677419354838707
0.5	0.2	0.24731182795698925	0.7796610169491526	0.37551020408163266
0.5	0.3	0.27071823204419887	0.7903225806451613	0.40329218106995884
0.5	0.4	0.27624309392265195	0.78125	0.4081632653061225
0.5	0.5	0.3333333333333333	0.8591549295774648	0.48031496062992124
0.5	0.6	0.3314917127071823	0.8571428571428571	0.47808764940239046
0.5	0.7	0.3314917127071823	0.8823529411764706	0.48192771084337344
0.5	0.8	0.3314917127071823	0.8823529411764706	0.48192771084337344
0.5	0.9	0.3258426966292135	0.8787878787878788	0.4754098360655738
0.6	0.1	0.21354166666666666	0.7454545454545455	0.33198380566801616
0.6	0.2	0.2541436464088398	0.7796610169491526	0.3833333333333333
0.6	0.3	0.26666666666666666	0.75	0.3934426229508197
0.6	0.4	0.273224043715847	0.7936507936507936	0.40650406504065045
