w2v

alpha	beta	precision	recall	f-measure

0.1	0.1	0.3391304347826087	0.7090909090909091	0.45882352941176474
0.1	0.2	0.40860215053763443	0.7916666666666666	0.5390070921985817
0.1	0.3	0.41836734693877553	0.803921568627451	0.5503355704697986
0.1	0.4	0.40384615384615385	0.7924528301886793	0.5350318471337578
0.1	0.5	0.4051724137931034	0.734375	0.5222222222222223
0.1	0.6	0.3983050847457627	0.734375	0.5164835164835164
0.1	0.7	0.3949579831932773	0.734375	0.5136612021857924
0.1	0.8	0.38333333333333336	0.71875	0.5
0.1	0.9	0.38333333333333336	0.71875	0.5
0.2	0.1	0.35185185185185186	0.6909090909090909	0.46625766871165647
0.2	0.2	0.39603960396039606	0.8	0.5298013245033113
0.2	0.3	0.42105263157894735	0.8	0.5517241379310345
0.2	0.4	0.40384615384615385	0.7924528301886793	0.5350318471337578
0.2	0.5	0.42857142857142855	0.7384615384615385	0.5423728813559321
0.2	0.6	0.41739130434782606	0.7384615384615385	0.5333333333333333
0.2	0.7	0.4051724137931034	0.7230769230769231	0.5193370165745858
0.2	0.8	0.3983050847457627	0.7230769230769231	0.5136612021857924
0.2	0.9	0.3983050847457627	0.7230769230769231	0.5136612021857924
0.3	0.1	0.34782608695652173	0.6896551724137931	0.4624277456647399
0.3	0.2	0.38144329896907214	0.6727272727272727	0.4868421052631578
0.3	0.3	0.40816326530612246	0.8	0.5405405405405406
0.3	0.4	0.4	0.7924528301886793	0.5316455696202531
0.3	0.5	0.4396551724137931	0.75	0.5543478260869564
0.3	0.6	0.4396551724137931	0.75	0.5543478260869564
0.3	0.7	0.4396551724137931	0.75	0.5543478260869564
0.3	0.8	0.4017094017094017	0.7230769230769231	0.5164835164835165
0.3	0.9	0.3949579831932773	0.7230769230769231	0.5108695652173912
0.4	0.1	0.336283185840708	0.6909090909090909	0.4523809523809524
0.4	0.2	0.3592233009708738	0.6379310344827587	0.45962732919254656
0.4	0.3	0.37755102040816324	0.6727272727272727	0.48366013071895425
0.4	0.4	0.3925233644859813	0.7924528301886793	0.5249999999999999
0.4	0.5	0.4396551724137931	0.8095238095238095	0.5698324022346368
0.4	0.6	0.4482758620689655	0.7536231884057971	0.5621621621621621
0.4	0.7	0.4491525423728814	0.7571428571428571	0.5638297872340425
0.4	0.8	0.4380165289256198	0.7571428571428571	0.5549738219895287
0.4	0.9	0.4322033898305085	0.7391304347826086	0.5454545454545455
0.5	0.1	0.35135135135135137	0.6964285714285714	0.4670658682634731
0.5	0.2	0.36538461538461536	0.6785714285714286	0.475
0.5	0.3	0.3557692307692308	0.6379310344827587	0.45679012345679015
0.5	0.4	0.40816326530612246	0.6779661016949152	0.5095541401273885
0.5	0.5	0.4444444444444444	0.7536231884057971	0.5591397849462365
0.5	0.6	0.4369747899159664	0.7536231884057971	0.553191489361702
0.5	0.7	0.4369747899159664	0.7536231884057971	0.553191489361702
0.5	0.8	0.43333333333333335	0.7536231884057971	0.5502645502645502
0.5	0.9	0.4380165289256198	0.7571428571428571	0.5549738219895287
0.6	0.1	0.3584905660377358	0.7037037037037037	0.47500000000000003
0.6	0.2	0.38095238095238093	0.7017543859649122	0.49382716049382713
0.6	0.3	0.3564356435643564	0.6206896551724138	0.45283018867924524
0.6	0.4	0.38461538461538464	0.6779661016949152	0.49079754601227
0.6	0.5	0.4224137931034483	0.6621621621621622	0.5157894736842105
0.6	0.6	0.4406779661016949	0.7536231884057971	0.5561497326203209
0.6	0.7	0.4482758620689655	0.7536231884057971	0.5621621621621621
0.6	0.8	0.4406779661016949	0.7536231884057971	0.5561497326203209
0.6	0.9	0.43333333333333335	0.7536231884057971	0.5502645502645502
0.7	0.1	0.3611111111111111	0.7090909090909091	0.4785276073619632
0.7	0.2	0.36792452830188677	0.7090909090909091	0.48447204968944096
0.7	0.3	0.36538461538461536	0.6785714285714286	0.475
0.7	0.4	0.3611111111111111	0.6290322580645161	0.45882352941176474
0.7	0.5	0.41739130434782606	0.7058823529411765	0.5245901639344263
0.7	0.6	0.4188034188034188	0.6621621621621622	0.5130890052356022
0.7	0.7	0.4406779661016949	0.7536231884057971	0.5561497326203209
0.7	0.8	0.4262295081967213	0.7536231884057971	0.544502617801047
0.7	0.9	0.43333333333333335	0.7536231884057971	0.5502645502645502
0.8	0.1	0.3611111111111111	0.7222222222222222	0.4814814814814815
0.8	0.2	0.3523809523809524	0.6981132075471698	0.4683544303797469
0.8	0.3	0.3584905660377358	0.6785714285714286	0.46913580246913583
0.8	0.4	0.35454545454545455	0.6290322580645161	0.45348837209302323
0.8	0.5	0.4083333333333333	0.7101449275362319	0.5185185185185186
0.8	0.6	0.415929203539823	0.7014925373134329	0.5222222222222221
0.8	0.7	0.4117647058823529	0.7205882352941176	0.5240641711229946
0.8	0.8	0.4180327868852459	0.75	0.5368421052631578
0.8	0.9	0.42276422764227645	0.7536231884057971	0.5416666666666666
0.9	0.1	0.3627450980392157	0.7551020408163265	0.49006622516556286
0.9	0.2	0.3644859813084112	0.6964285714285714	0.4785276073619632
0.9	0.3	0.3669724770642202	0.7017543859649122	0.48192771084337355
0.9	0.4	0.37272727272727274	0.6833333333333333	0.48235294117647054
0.9	0.5	0.39166666666666666	0.6619718309859155	0.49214659685863876
0.9	0.6	0.41025641025641024	0.7058823529411765	0.518918918918919
0.9	0.7	0.4051724137931034	0.7014925373134329	0.5136612021857924
0.9	0.8	0.41025641025641024	0.7164179104477612	0.5217391304347826
0.9	0.9	0.4214876033057851	0.75	0.5396825396825398

maxAlpha: 0.4,	maxBeta: 0.5,	maxFMeasure: 0.5698324022346368
