FastText

alpha	beta	precision	recall	f-measure

0.1	0.1	0.14545454545454545	0.7692307692307693	0.24464831804281345
0.1	0.2	0.15272727272727274	0.75	0.2537764350453173
0.1	0.3	0.16071428571428573	0.7758620689655172	0.26627218934911245
0.1	0.4	0.1795774647887324	0.8225806451612904	0.2947976878612717
0.1	0.5	0.2158273381294964	0.7894736842105263	0.3389830508474576
0.1	0.6	0.22382671480144403	0.7948717948717948	0.3492957746478873
0.1	0.7	0.2246376811594203	0.7948717948717948	0.3502824858757062
0.1	0.8	0.2246376811594203	0.7948717948717948	0.3502824858757062
0.1	0.9	0.22302158273381295	0.7948717948717948	0.34831460674157305
0.2	0.1	0.145985401459854	0.7692307692307693	0.24539877300613497
0.2	0.2	0.14909090909090908	0.7592592592592593	0.24924012158054712
0.2	0.3	0.17314487632508835	0.8032786885245902	0.28488372093023256
0.2	0.4	0.18309859154929578	0.8125	0.2988505747126437
0.2	0.5	0.22021660649819494	0.7922077922077922	0.34463276836158196
0.2	0.6	0.2210144927536232	0.7922077922077922	0.34560906515580736
0.2	0.7	0.2246376811594203	0.8051948051948052	0.35127478753541075
0.2	0.8	0.22382671480144403	0.8051948051948052	0.3502824858757062
0.2	0.9	0.22661870503597123	0.8076923076923077	0.35393258426966295
0.3	0.1	0.14705882352941177	0.7547169811320755	0.24615384615384617
0.3	0.2	0.15827338129496402	0.7333333333333333	0.26035502958579876
0.3	0.3	0.17314487632508835	0.8166666666666667	0.28571428571428575
0.3	0.4	0.18021201413427562	0.8225806451612904	0.2956521739130435
0.3	0.5	0.2318840579710145	0.7901234567901234	0.3585434173669468
0.3	0.6	0.22545454545454546	0.7848101265822784	0.35028248587570626
0.3	0.7	0.2246376811594203	0.7848101265822784	0.34929577464788736
0.3	0.8	0.22302158273381295	0.8051948051948052	0.34929577464788736
0.3	0.9	0.22302158273381295	0.8051948051948052	0.34929577464788736
0.4	0.1	0.16129032258064516	0.8035714285714286	0.26865671641791045
0.4	0.2	0.17375886524822695	0.8166666666666667	0.28654970760233917
0.4	0.3	0.17314487632508835	0.8032786885245902	0.28488372093023256
0.4	0.4	0.18021201413427562	0.8225806451612904	0.2956521739130435
0.4	0.5	0.24363636363636362	0.788235294117647	0.37222222222222223
