Glove

alpha	beta	precision	recall	f-measure

0.1	0.1	0.1262135922330097	0.7358490566037735	0.21546961325966849
0.1	0.2	0.15789473684210525	0.7741935483870968	0.2622950819672131
0.1	0.3	0.16393442622950818	0.746268656716418	0.26881720430107525
0.1	0.4	0.17857142857142858	0.7857142857142857	0.291005291005291
0.1	0.5	0.21639344262295082	0.7586206896551724	0.33673469387755106
0.1	0.6	0.2185430463576159	0.7333333333333333	0.33673469387755106
0.1	0.7	0.23333333333333334	0.7368421052631579	0.35443037974683544
0.1	0.8	0.22818791946308725	0.7157894736842105	0.3460559796437659
0.1	0.9	0.22408026755852842	0.7127659574468085	0.34096692111959287
0.2	0.1	0.13355048859934854	0.7192982456140351	0.22527472527472525
0.2	0.2	0.16225165562913907	0.7903225806451613	0.2692307692307692
0.2	0.3	0.16776315789473684	0.75	0.27419354838709675
0.2	0.4	0.18181818181818182	0.8	0.2962962962962963
0.2	0.5	0.22442244224422442	0.7555555555555555	0.34605597964376583
0.2	0.6	0.23255813953488372	0.7446808510638298	0.35443037974683544
0.2	0.7	0.22818791946308725	0.7157894736842105	0.3460559796437659
0.2	0.8	0.22666666666666666	0.7010309278350515	0.34256926952141054
0.2	0.9	0.22666666666666666	0.7010309278350515	0.34256926952141054
0.3	0.1	0.15333333333333332	0.696969696969697	0.25136612021857924
0.3	0.2	0.1760797342192691	0.7910447761194029	0.2880434782608695
0.3	0.3	0.18627450980392157	0.8028169014084507	0.3023872679045093
0.3	0.4	0.19218241042345277	0.8082191780821918	0.31052631578947365
0.3	0.5	0.23178807947019867	0.7526881720430108	0.35443037974683544
0.3	0.6	0.23076923076923078	0.7340425531914894	0.3511450381679389
0.3	0.7	0.2292358803986711	0.7263157894736842	0.34848484848484845
0.3	0.8	0.23509933774834438	0.7634408602150538	0.359493670886076
0.3	0.9	0.23432343234323433	0.7634408602150538	0.35858585858585856
0.4	0.1	0.174496644295302	0.7536231884057971	0.28337874659400547
0.4	0.2	0.18151815181518152	0.7534246575342466	0.29255319148936176
0.4	0.3	0.1901639344262295	0.8055555555555556	0.3076923076923077
0.4	0.4	0.19736842105263158	0.7894736842105263	0.3157894736842105
0.4	0.5	0.24242424242424243	0.7422680412371134	0.36548223350253806
0.4	0.6	0.23666666666666666	0.7395833333333334	0.35858585858585856
0.4	0.7	0.23841059602649006	0.7741935483870968	0.3645569620253164
