w2v

alpha	beta	precision	recall	f-measure

0.1	0.1	0.22545454545454546	0.8051948051948052	0.35227272727272724
0.1	0.2	0.23443223443223443	0.8205128205128205	0.36467236467236464
0.1	0.3	0.23809523809523808	0.8125	0.3682719546742209
0.1	0.4	0.24817518248175183	0.8192771084337349	0.380952380952381
0.1	0.5	0.2825278810408922	0.7916666666666666	0.4164383561643836
0.1	0.6	0.2835820895522388	0.7916666666666666	0.41758241758241754
0.1	0.7	0.2835820895522388	0.7916666666666666	0.41758241758241754
0.1	0.8	0.2835820895522388	0.7916666666666666	0.41758241758241754
0.1	0.9	0.2835820895522388	0.7916666666666666	0.41758241758241754
0.2	0.1	0.22826086956521738	0.7974683544303798	0.35492957746478876
0.2	0.2	0.23443223443223443	0.810126582278481	0.36363636363636365
0.2	0.3	0.23809523809523808	0.8024691358024691	0.3672316384180791
0.2	0.4	0.24817518248175183	0.8192771084337349	0.380952380952381
0.2	0.5	0.2825278810408922	0.7916666666666666	0.4164383561643836
0.2	0.6	0.2825278810408922	0.7916666666666666	0.4164383561643836
0.2	0.7	0.2825278810408922	0.7916666666666666	0.4164383561643836
0.2	0.8	0.2825278810408922	0.7916666666666666	0.4164383561643836
0.2	0.9	0.2825278810408922	0.7916666666666666	0.4164383561643836
0.3	0.1	0.22743682310469315	0.8181818181818182	0.35593220338983056
0.3	0.2	0.23443223443223443	0.7901234567901234	0.3615819209039548
0.3	0.3	0.23809523809523808	0.8024691358024691	0.3672316384180791
0.3	0.4	0.2454212454212454	0.7976190476190477	0.3753501400560224
0.3	0.5	0.2947761194029851	0.79	0.4293478260869566
0.3	0.6	0.2936802973977695	0.797979797979798	0.42934782608695654
0.3	0.7	0.2936802973977695	0.797979797979798	0.42934782608695654
0.3	0.8	0.2788104089219331	0.7894736842105263	0.4120879120879122
0.3	0.9	0.2788104089219331	0.7894736842105263	0.4120879120879122
0.4	0.1	0.2210144927536232	0.7922077922077922	0.34560906515580736
0.4	0.2	0.2318840579710145	0.8205128205128205	0.36158192090395486
0.4	0.3	0.23809523809523808	0.7831325301204819	0.3651685393258427
0.4	0.4	0.2454212454212454	0.7976190476190477	0.3753501400560224
0.4	0.5	0.29850746268656714	0.7920792079207921	0.4336043360433604
0.4	0.6	0.29850746268656714	0.7920792079207921	0.4336043360433604
0.4	0.7	0.30223880597014924	0.7941176470588235	0.4378378378378378
0.4	0.8	0.30111524163568776	0.801980198019802	0.43783783783783786
0.4	0.9	0.29739776951672864	0.8	0.4336043360433604
0.5	0.1	0.2210144927536232	0.7922077922077922	0.34560906515580736
0.5	0.2	0.23104693140794225	0.8205128205128205	0.36056338028169016
0.5	0.3	0.23636363636363636	0.8125	0.36619718309859156
0.5	0.4	0.25	0.7816091954022989	0.37883008356545966
0.5	0.5	0.2947761194029851	0.7821782178217822	0.4281842818428184
0.5	0.6	0.29850746268656714	0.7920792079207921	0.4336043360433604
0.5	0.7	0.29850746268656714	0.7920792079207921	0.4336043360433604
0.5	0.8	0.29850746268656714	0.7920792079207921	0.4336043360433604
0.5	0.9	0.30223880597014924	0.7941176470588235	0.4378378378378378
0.6	0.1	0.22545454545454546	0.8157894736842105	0.35327635327635326
0.6	0.2	0.23104693140794225	0.8205128205128205	0.36056338028169016
0.6	0.3	0.2318840579710145	0.8205128205128205	0.36158192090395486
0.6	0.4	0.24817518248175183	0.7816091954022989	0.3767313019390582
0.6	0.5	0.2958801498127341	0.7669902912621359	0.42702702702702705
0.6	0.6	0.2947761194029851	0.7821782178217822	0.4281842818428184
0.6	0.7	0.2947761194029851	0.7821782178217822	0.4281842818428184
0.6	0.8	0.2947761194029851	0.7821782178217822	0.4281842818428184
0.6	0.9	0.29850746268656714	0.7920792079207921	0.4336043360433604
0.7	0.1	0.22743682310469315	0.8289473684210527	0.35694050991501414
0.7	0.2	0.22826086956521738	0.7974683544303798	0.35492957746478876
0.7	0.3	0.23104693140794225	0.8205128205128205	0.36056338028169016
0.7	0.4	0.24727272727272728	0.8095238095238095	0.37883008356545966
0.7	0.5	0.2873134328358209	0.7549019607843137	0.4162162162162162
0.7	0.6	0.29213483146067415	0.7572815533980582	0.4216216216216216
0.7	0.7	0.2947761194029851	0.7821782178217822	0.4281842818428184
0.7	0.8	0.2947761194029851	0.7821782178217822	0.4281842818428184
0.7	0.9	0.2947761194029851	0.7821782178217822	0.4281842818428184
0.8	0.1	0.22743682310469315	0.8289473684210527	0.35694050991501414
0.8	0.2	0.2246376811594203	0.7948717948717948	0.3502824858757062
0.8	0.3	0.23104693140794225	0.8205128205128205	0.36056338028169016
0.8	0.4	0.2463768115942029	0.8095238095238095	0.3777777777777778
0.8	0.5	0.2851851851851852	0.7777777777777778	0.41734417344173447
0.8	0.6	0.2873134328358209	0.7549019607843137	0.4162162162162162
0.8	0.7	0.29213483146067415	0.7572815533980582	0.4216216216216216
0.8	0.8	0.291044776119403	0.7722772277227723	0.4227642276422764
0.8	0.9	0.291044776119403	0.7722772277227723	0.4227642276422764
0.9	0.1	0.22743682310469315	0.8181818181818182	0.35593220338983056
0.9	0.2	0.2246376811594203	0.7948717948717948	0.3502824858757062
0.9	0.3	0.23104693140794225	0.8205128205128205	0.36056338028169016
0.9	0.4	0.24548736462093862	0.8095238095238095	0.3767313019390582
0.9	0.5	0.2851851851851852	0.7777777777777778	0.41734417344173447
0.9	0.6	0.2851851851851852	0.7777777777777778	0.41734417344173447
0.9	0.7	0.2873134328358209	0.7549019607843137	0.4162162162162162
